v,s
0.229295833333,0.145711111111
0.157291666667,0.0635814977974
-0.269691666667,0.0632577777778
0.0618708333333,0.0642321428571
0.0726875,0.0551017699115
0.0093625,0.0416447368421
-0.0224375,0.0511189427313
-0.0170291666667,0.0589730941704
0.013725,0.05772
0.0335416666667,0.0628333333333
-0.0244458333333,0.0293232758621
-0.0730708333333,0.00618333333333
-0.0184583333333,0.00735
0.0668958333333,0.031991416309
-0.00683333333333,0.055668161435
-0.0841625,0.0475113122172
0.225566666667,0.101508928571
0.389170833333,0.219699115044
0.368666666667,0.141026315789
0.166029166667,0.0628798283262
0.162675,0.0835859030837
0.312245833333,0.163279475983
0.309891666667,0.201519823789
0.140183333333,0.16068722467
0.259008333333,0.257834061135
0.0470958333333,0.258548076923
-0.03545,0.116477876106
0.00815833333333,0.0851733333333
-0.2833125,0.0404380530973
-0.225708333333,0.042092920354
0.128766666667,0.124086956522
-0.150891666667,0.0758416666667
-0.0674625,0.0613541666667
0.0758333333333,0.077925
-0.0468125,0.0568333333333
-0.0136291666667,0.0772166666667
0.5369125,0.241041666667
0.2285125,0.155816666667
-0.122275,0.0644666666667
-0.0869208333333,0.0387333333333
0.47545,0.1574375
0.386995833333,0.133045833333
0.274233333333,0.083975
0.19105,0.0669666666667
-0.0391125,0.06735
-0.062975,0.063525
0.070825,0.0861791666667
-0.001475,0.0776333333333
-0.0299833333333,0.0465041666667
-0.176133333333,0.0480416666667
-0.0483458333333,0.0379583333333
-0.0947291666667,0.0303666666667
0.0966708333333,0.0371583333333
0.39225,0.180475
0.364925,0.183458333333
0.299320833333,0.1184125
0.0426583333333,0.1278625
0.243266666667,0.13245
0.2588625,0.113516666667
0.0508125,0.0566791666667
0.265270833333,0.0815375
0.4997125,0.2024875
0.3761,0.1593125
0.3285625,0.123941666667
0.224116666667,0.125204166667
0.0692875,0.0998958333333
0.0862625,0.074225
0.0531291666667,0.0518833333333
0.0960916666667,0.0462708333333
0.111945833333,0.0582416666667
0.307070833333,0.0976458333333
0.7622625,0.282354166667
0.454666666667,0.285320833333
0.437325,0.204908333333
0.4818,0.195754166667
0.1868375,0.1512875
0.0688625,0.125579166667
0.115625,0.0930541666667
0.0718791666667,0.0859416666667
0.0243583333333,0.0785166666667
0.137491666667,0.0842458333333
0.164920833333,0.182141666667
-0.0198583333333,0.0910708333333
0.0700958333333,0.0838625
0.233529166667,0.114883333333
0.323729166667,0.1512875
0.248716666667,0.131733333333
0.2988,0.213629166667
0.296329166667,0.267308333333
0.253083333333,0.160020833333
0.1795375,0.109633333333
